,Drug,Gene1,Phenotype1,Gene2,Phenotype2,Recommendation
24,celecoxib,CYP2C9,Intermediate Metabolizer,None,None,"Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals."
25,celecoxib,CYP2C9,Poor Metabolizer,None,None,"Initiate therapy with 25-50% of the lowest recommended starting dose. Titrate dose upward to clinical effect or 25-50% of the maximum recommended dose with caution. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals. Upward dose titration should not occur until after steady state is reached (at least 8 days for celecoxib after first dose in PMs). Carefully monitor adverse events such as blood pressure and kidney function during course of therapy. Alternatively, consider an alternate therapy not metabolized by CYP2C9 or not significantly impacted by CYP2C9 genetic variants in vivo."
26,celecoxib,CYP2C9,Indeterminate,None,None,None
27,flurbiprofen,CYP2C9,Normal Metabolizer,None,None,"Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals."
28,flurbiprofen,CYP2C9,Intermediate Metabolizer,None,None,"Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals."
29,flurbiprofen,CYP2C9,Poor Metabolizer,None,None,"Initiate therapy with 25-50% of the lowest recommended starting dose. Titrate dose upward to clinical effect or 25-50% of the maximum recommended dose with caution. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals. Upward dose titration should not occur until after steady state is reached (at least 8 days for celecoxib after first dose in PMs). Carefully monitor adverse events such as blood pressure and kidney function during course of therapy. Alternatively, consider an alternate therapy not metabolized by CYP2C9 or not significantly impacted by CYP2C9 genetic variants in vivo."
30,flurbiprofen,CYP2C9,Indeterminate,None,None,None
31,ibuprofen,CYP2C9,Normal Metabolizer,None,None,"Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals."
32,ibuprofen,CYP2C9,Intermediate Metabolizer,None,None,"Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals."
33,ibuprofen,CYP2C9,Poor Metabolizer,None,None,"Initiate therapy with 25-50% of the lowest recommended starting dose. Titrate dose upward to clinical effect or 25-50% of the maximum recommended dose with caution. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals. Upward dose titration should not occur until after steady state is reached (at least 8 days for celecoxib after first dose in PMs). Carefully monitor adverse events such as blood pressure and kidney function during course of therapy. Alternatively, consider an alternate therapy not metabolized by CYP2C9 or not significantly impacted by CYP2C9 genetic variants in vivo."
34,ibuprofen,CYP2C9,Indeterminate,None,None,None
35,lornoxicam,CYP2C9,Normal Metabolizer,None,None,"Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals."
36,lornoxicam,CYP2C9,Intermediate Metabolizer,None,None,"Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals."
37,lornoxicam,CYP2C9,Poor Metabolizer,None,None,"Initiate therapy with 25-50% of the lowest recommended starting dose. Titrate dose upward to clinical effect or 25-50% of the maximum recommended dose with caution. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals. Upward dose titration should not occur until after steady state is reached (at least 8 days for celecoxib after first dose in PMs). Carefully monitor adverse events such as blood pressure and kidney function during course of therapy. Alternatively, consider an alternate therapy not metabolized by CYP2C9 or not significantly impacted by CYP2C9 genetic variants in vivo."
38,lornoxicam,CYP2C9,Indeterminate,None,None,None
39,fluvastatin,CYP2C9,Normal Metabolizer,SLCO1B1,Increased Function,Prescribe desired starting dose and adjust doses of fluvastatin based on disease-specific guidelines.
40,fluvastatin,CYP2C9,Normal Metabolizer,SLCO1B1,Normal Function,Prescribe desired starting dose and adjust doses of fluvastatin based on disease-specific guidelines.
41,fluvastatin,CYP2C9,Normal Metabolizer,SLCO1B1,Possible Decreased Function,Prescribe desired starting dose and adjust doses of fluvastatin based on disease-specific guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >40mg per day.
42,fluvastatin,CYP2C9,Normal Metabolizer,SLCO1B1,Decreased Function,Prescribe desired starting dose and adjust doses of fluvastatin based on disease-specific guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >40mg per day.
43,fluvastatin,CYP2C9,Normal Metabolizer,SLCO1B1,Poor Function,"Prescribe <=40mg per day as a starting dose and adjust doses of fluvastatin based on disease-specific guidelines. If patient is tolerating 40mg per day but higher potency is needed, a higher dose (>40mg) or an alternative statin or combination therapy (i.e. fluvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391) could be considered. Prescriber should be aware of possible increased risk for myopathy with fluvastatin especially with doses >40mg per day."
44,fluvastatin,CYP2C9,Normal Metabolizer,SLCO1B1,Indeterminate,"Based on CYP2C9 status, prescribe desired starting dose and adjust doses of fluvastatin based on disease-specific guidelines. SLCO1B1 phenotype could not be assigned based on genotyping."
45,fluvastatin,CYP2C9,Normal Metabolizer,SLCO1B1,None,"Based on CYP2C9 status, prescribe desired starting dose and adjust doses of fluvastatin based on disease-specific guidelines. SLCO1B1 genotype result is not available."
46,fluvastatin,CYP2C9,Intermediate Metabolizer,SLCO1B1,Increased Function,"Prescribe <=40mg per day as a starting dose and adjust doses of fluvastatin based on disease-specific guidelines. If dose >40mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., fluvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
47,fluvastatin,CYP2C9,Intermediate Metabolizer,SLCO1B1,Normal Function,"Prescribe <=40mg per day as a starting dose and adjust doses of fluvastatin based on disease-specific guidelines. If dose >40mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., fluvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
48,fluvastatin,CYP2C9,Intermediate Metabolizer,SLCO1B1,Possible Decreased Function,"Prescribe <=20mg per day as a starting dose and adjust doses of fluvastatin based on disease-specific guidelines. If dose >20mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., fluvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
49,fluvastatin,CYP2C9,Intermediate Metabolizer,SLCO1B1,Decreased Function,"Prescribe <=20mg per day as a starting dose and adjust doses of fluvastatin based on disease-specific guidelines. If dose >20mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., fluvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
50,fluvastatin,CYP2C9,Intermediate Metabolizer,SLCO1B1,Poor Function,Prescribe an alternative statin depending on the desired potency. (see Table 2 and Figure 1 of PMID: 35152405 for recommendations for alternative statins).
51,fluvastatin,CYP2C9,Intermediate Metabolizer,SLCO1B1,Indeterminate,"Based on CYP2C9 status, prescribe <=40mg per day as a starting dose and adjust doses of fluvastatin based on disease-specific guidelines. If dose >40mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., fluvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391). SLCO1B1 phenotype could not be assigned based on genotyping."
52,fluvastatin,CYP2C9,Intermediate Metabolizer,SLCO1B1,None,"Based on CYP2C9 status, prescribe <=40mg per day as a starting dose and adjust doses of fluvastatin based on disease-specific guidelines. If dose >40mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., fluvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391). SLCO1B1 genotype result is not available."
53,fluvastatin,CYP2C9,Poor Metabolizer,SLCO1B1,Increased Function,"Prescribe <=20mg per day as a starting dose and adjust doses of fluvastatin based on disease-specific guidelines. If dose >20mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., fluvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
54,fluvastatin,CYP2C9,Poor Metabolizer,SLCO1B1,Normal Function,"Prescribe <=20mg per day as a starting dose and adjust doses of fluvastatin based on disease-specific guidelines. If dose >20mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., fluvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
55,fluvastatin,CYP2C9,Poor Metabolizer,SLCO1B1,Possible Decreased Function,Prescribe an alternative statin depending on the desired potency (see Figure 1 of PMID: 35152405 for recommendations for alternative statins).
56,fluvastatin,CYP2C9,Poor Metabolizer,SLCO1B1,Decreased Function,Prescribe an alternative statin depending on the desired potency (see Figure 1 of PMID: 35152405 for recommendations for alternative statins).
57,fluvastatin,CYP2C9,Poor Metabolizer,SLCO1B1,Poor Function,Prescribe an alternative statin depending on the desired potency (see Table 2 and Figure 1 of PMID: 35152405 for recommendations for alternative statins).
58,fluvastatin,CYP2C9,Poor Metabolizer,SLCO1B1,Indeterminate,"Based on CYP2C9 status, prescribe <=20mg per day as a starting dose and adjust doses of fluvastatin based on disease-specific guidelines. If dose >20mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., fluvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391). SLCO1B1 phenotype could not be assigned based on genotyping."
59,fluvastatin,CYP2C9,Poor Metabolizer,SLCO1B1,None,"Based on CYP2C9 status, prescribe <=20mg per day as a starting dose and adjust doses of fluvastatin based on disease-specific guidelines. If dose >20mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., fluvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391). SLCO1B1 genotype result is not available."
60,fluvastatin,CYP2C9,Indeterminate,SLCO1B1,Increased Function,"Based on SLCO1B1 status, prescribe desired starting dose and adjust doses based on disease-specific guidelines. CYP2C9 phenotype could not be assigned based on genotyping."
61,fluvastatin,CYP2C9,Indeterminate,SLCO1B1,Normal Function,"Based on SLCO1B1 status, prescribe desired starting dose and adjust doses based on disease-specific guidelines. CYP2C9 phenotype could not be assigned based on genotyping."
62,fluvastatin,CYP2C9,Indeterminate,SLCO1B1,Possible Decreased Function,"Based on SLCO1B1 status, prescribe desired starting dose and adjust doses of fluvastatin based on disease-specific guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >40mg per day. CYP2C9 phenotype could not be assigned based on genotyping."
63,fluvastatin,CYP2C9,Indeterminate,SLCO1B1,Decreased Function,"Based on SLCO1B1 status, prescribe desired starting dose and adjust doses of fluvastatin based on disease-specific guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >40mg per day. CYP2C9 phenotype could not be assigned based on genotyping."
64,fluvastatin,CYP2C9,Indeterminate,SLCO1B1,Poor Function,"Based on SLCO1B1 status, prescribe <=40mg per day as a starting dose and adjust doses of fluvastatin based on disease-specific guidelines. If patient is tolerating 40mg per day but higher potency is needed, a higher dose (>40mg) or an alternative statin (see Figure 1 of PMID: 35152405 for recommendations for alternative statins) or combination therapy (i.e. fluvastatin plus non-statin guideline directed medical therapy)(PMID: 30423391) could be considered. Prescriber should be aware of possible increased risk for myopathy with fluvastatin especially with doses >40mg per day. CYP2C9 phenotype could not be assigned based on genotyping."
65,fluvastatin,CYP2C9,Indeterminate,SLCO1B1,Indeterminate,None
66,fluvastatin,CYP2C9,Indeterminate,SLCO1B1,None,None
67,fluvastatin,CYP2C9,None,SLCO1B1,Increased Function,"Based on SLCO1B1 status, prescribe desired starting dose and adjust doses based on disease-specific guidelines. CYP2C9 genotype result is not available."
68,fluvastatin,CYP2C9,None,SLCO1B1,Normal Function,"Based on SLCO1B1 status, prescribe desired starting dose and adjust doses based on disease-specific guidelines. CYP2C9 genotype result is not available."
69,fluvastatin,CYP2C9,None,SLCO1B1,Possible Decreased Function,"Based on SLCO1B1 status, prescribe desired starting dose and adjust doses of fluvastatin based on disease-specific guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >40mg per day. CYP2C9 genotype result is not available."
70,fluvastatin,CYP2C9,None,SLCO1B1,Decreased Function,"Based on SLCO1B1 status, prescribe desired starting dose and adjust doses of fluvastatin based on disease-specific guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >40mg per day. CYP2C9 genotype result is not available."
71,fluvastatin,CYP2C9,None,SLCO1B1,Poor Function,"Based on SLCO1B1 status, prescribe <=40mg per day as a starting dose and adjust doses of fluvastatin based on disease-specific guidelines. If patient is tolerating 40mg per day but higher potency is needed, a higher dose (>40mg) or an alternative statin (see Figure 1 of PMID: 35152405 for recommendations for alternative statins) or combination therapy (i.e. fluvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391) could be considered. Prescriber should be aware of possible increased risk for myopathy with fluvastatin especially with doses >40mg per day. CYP2C9 genotype result is not available."
72,fluvastatin,CYP2C9,None,SLCO1B1,Indeterminate,None
73,fluvastatin,CYP2C9,None,SLCO1B1,None,None
74,rosuvastatin,ABCG2,Normal Function,SLCO1B1,Increased Function,Prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines.
75,rosuvastatin,ABCG2,Normal Function,SLCO1B1,Normal Function,Prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines.
76,rosuvastatin,ABCG2,Normal Function,SLCO1B1,Possible Decreased Function,Prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >20mg.
77,rosuvastatin,ABCG2,Normal Function,SLCO1B1,Decreased Function,Prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >20mg.
78,rosuvastatin,ABCG2,Normal Function,SLCO1B1,Poor Function,"Prescribe <=20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. If dose > 20mg needed for desired efficacy, consider combination therapy (i.e., rosuvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
79,rosuvastatin,ABCG2,Normal Function,SLCO1B1,Indeterminate,"Based on ABCG2 status, prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. SLCO1B1 phenotype could not be assigned based on genotyping."
80,rosuvastatin,ABCG2,Normal Function,SLCO1B1,None,"Based on ABCG2 status, prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. SLCO1B1 genotype result is not available."
81,rosuvastatin,ABCG2,Decreased Function,SLCO1B1,Increased Function,Prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines.
82,rosuvastatin,ABCG2,Decreased Function,SLCO1B1,Normal Function,Prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines.
83,rosuvastatin,ABCG2,Decreased Function,SLCO1B1,Possible Decreased Function,Prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >20mg.
84,rosuvastatin,ABCG2,Decreased Function,SLCO1B1,Decreased Function,Prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >20mg.
85,rosuvastatin,ABCG2,Decreased Function,SLCO1B1,Poor Function,"Prescribe <=20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. If dose >20mg needed for desired efficacy, consider combination therapy (i.e., rosuvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
86,rosuvastatin,ABCG2,Decreased Function,SLCO1B1,Indeterminate,"Based on ABCG2 status, prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific guidelines and specific population guidelines. SLCO1B1 phenotype could not be assigned based on genotyping."
87,rosuvastatin,ABCG2,Decreased Function,SLCO1B1,None,"Based on ABCG2 status, prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific guidelines and specific population guidelines. SLCO1B1 genotype result is not available."
88,rosuvastatin,ABCG2,Poor Function,SLCO1B1,Increased Function,"Prescribe <=20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. If dose >20mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., rosuvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
89,rosuvastatin,ABCG2,Poor Function,SLCO1B1,Normal Function,"Prescribe <=20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. If dose >20mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., rosuvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
90,rosuvastatin,ABCG2,Poor Function,SLCO1B1,Possible Decreased Function,"Prescribe <=10mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. If dose >10mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., rosuvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
91,rosuvastatin,ABCG2,Poor Function,SLCO1B1,Decreased Function,"Prescribe <=10mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. If dose >10mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., rosuvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
92,rosuvastatin,ABCG2,Poor Function,SLCO1B1,Poor Function,"Prescribe <=10mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. If dose >10mg needed for desired efficacy, consider combination therapy (i.e., rosuvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
93,rosuvastatin,ABCG2,Poor Function,SLCO1B1,Indeterminate,"Based on ABCG2 status, prescribe <=20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. If dose >20mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., rosuvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391). SLCO1B1 phenotype could not be assigned based on genotyping."
94,rosuvastatin,ABCG2,Poor Function,SLCO1B1,None,"Based on ABCG2 status, prescribe <=20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. If dose >20mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., rosuvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391). SLCO1B1 genotype result is not available."
95,rosuvastatin,ABCG2,None,SLCO1B1,Increased Function,"Based on SLCO1B1 status, prescribe desired starting dose and adjust doses based on disease-specific guidelines. ABCG2 genotype result is not available."
96,rosuvastatin,ABCG2,None,SLCO1B1,Normal Function,"Based on SLCO1B1 status, prescribe desired starting dose and adjust doses based on disease-specific guidelines. ABCG2 genotype result is not available."
97,rosuvastatin,ABCG2,None,SLCO1B1,Possible Decreased Function,"Based on SLCO1B1 status, prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >20mg. ABCG2 genotype result is not available."
98,rosuvastatin,ABCG2,None,SLCO1B1,Decreased Function,"Based on SLCO1B1 status, prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >20mg. ABCG2 genotype result is not available."
99,rosuvastatin,ABCG2,None,SLCO1B1,Poor Function,"Based on SLCO1B1 status, prescribe <=20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines If dose >20mg needed for desired efficacy, consider combination therapy (i.e. rosuvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391). ABCG2 genotype result is not available."
100,rosuvastatin,ABCG2,None,SLCO1B1,Indeterminate,None
101,rosuvastatin,ABCG2,None,SLCO1B1,None,None
102,desflurane,CACNA1S,Uncertain Susceptibility,RYR1,Uncertain Susceptibility,"Clinical findings, family history, further genetic testing and other laboratory data should guide use of halogenated volatile anesthetics or depolarizing muscle relaxants."
103,desflurane,CACNA1S,Uncertain Susceptibility,RYR1,Malignant Hyperthermia Susceptibility,"Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."
104,desflurane,CACNA1S,Uncertain Susceptibility,RYR1,None,None
105,desflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,Uncertain Susceptibility,"Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."
106,desflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,Malignant Hyperthermia Susceptibility,None
107,desflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,None,None
108,desflurane,CACNA1S,None,RYR1,Uncertain Susceptibility,None
109,desflurane,CACNA1S,None,RYR1,Malignant Hyperthermia Susceptibility,None
110,desflurane,CACNA1S,None,RYR1,None,None
111,enflurane,CACNA1S,Uncertain Susceptibility,RYR1,Uncertain Susceptibility,"Clinical findings, family history, further genetic testing and other laboratory data should guide use of halogenated volatile anesthetics or depolarizing muscle relaxants."
112,enflurane,CACNA1S,Uncertain Susceptibility,RYR1,Malignant Hyperthermia Susceptibility,"Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."
113,enflurane,CACNA1S,Uncertain Susceptibility,RYR1,None,None
114,enflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,Uncertain Susceptibility,"Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."
115,enflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,Malignant Hyperthermia Susceptibility,None
116,enflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,None,None
117,enflurane,CACNA1S,None,RYR1,Uncertain Susceptibility,None
118,enflurane,CACNA1S,None,RYR1,Malignant Hyperthermia Susceptibility,None
119,enflurane,CACNA1S,None,RYR1,None,None
120,halothane,CACNA1S,Uncertain Susceptibility,RYR1,Uncertain Susceptibility,"Clinical findings, family history, further genetic testing and other laboratory data should guide use of halogenated volatile anesthetics or depolarizing muscle relaxants."
121,halothane,CACNA1S,Uncertain Susceptibility,RYR1,Malignant Hyperthermia Susceptibility,"Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."
122,halothane,CACNA1S,Uncertain Susceptibility,RYR1,None,None
123,halothane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,Uncertain Susceptibility,"Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."
124,halothane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,Malignant Hyperthermia Susceptibility,None
125,halothane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,None,None
126,halothane,CACNA1S,None,RYR1,Uncertain Susceptibility,None
127,halothane,CACNA1S,None,RYR1,Malignant Hyperthermia Susceptibility,None
128,halothane,CACNA1S,None,RYR1,None,None
129,isoflurane,CACNA1S,Uncertain Susceptibility,RYR1,Uncertain Susceptibility,"Clinical findings, family history, further genetic testing and other laboratory data should guide use of halogenated volatile anesthetics or depolarizing muscle relaxants."
130,isoflurane,CACNA1S,Uncertain Susceptibility,RYR1,Malignant Hyperthermia Susceptibility,"Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."
131,isoflurane,CACNA1S,Uncertain Susceptibility,RYR1,None,None
